3727.30      [OII]   0.322   35.0 15.0   15.0   50.0
4340.47         Hg   0.157   45.0 15.0   30.0   50.0
4861.33         Hb   0.000   40.0 15.0   15.0   50.0
4958.91     [OIII]  -0.026   50.0 15.0   15.0   35.0
5006.84        O3b  -0.038   35.0 15.0   15.0   50.0

6300.30       [OI]  -0.263   30.0 15.0   20.0   40.0
6312.10     [SIII]  -0.264   30.0 18.0    5.0   20.0
6363.78       [OI]  -0.271   20.0  4.0    5.0   30.0
6548.03      [NII]  -0.296   45.0 15.0   55.0   75.0
6562.82         Ha  -0.298   50.0 25.0   35.0   60.0
6583.41      [NII]  -0.300   62.0 42.0    7.0   35.0
6678.15        HeI  -0.313   20.0  6.0    6.0   20.0
6716.47      [SII]  -0.318   40.0 15.0   22.0   45.0
6730.85      [SII]  -0.320   50.0 30.0    7.0   35.0

7065.28        HeI  -0.364   30.0  7.0    7.0   30.0
7135.78    [ArIII]  -0.374   25.0  6.0    6.0   25.0
7318.39      [OII]  -0.398   30.0  6.0   20.0   45.0
7329.66      [OII]  -0.400   40.0 16.0   10.0   35.0
7751.10    [ArIII]  -0.455   30.0 15.0   15.0   30.0
9068.90    [S-III]  -0.594   30.0 15.0   15.0   30.0   

